Date,Predicted_Close
2025-05-11,103775.62160318613
2025-05-12,103570.61373603113
2025-05-13,103725.13428750014
2025-05-14,103481.97171046799
2025-05-15,103891.50384462948
2025-05-16,103875.37280155899
2025-05-17,104034.67354610229
2025-05-18,104452.00295998361
2025-05-19,104254.7218387486
2025-05-20,104091.7215382329
2025-05-21,104258.29017975755
2025-05-22,104307.0137079975
2025-05-23,104192.61206740522
2025-05-24,104197.11542536621
2025-05-25,104264.48341954131
2025-05-26,104241.8980784601
2025-05-27,104208.10951281594
2025-05-28,104231.64319454713
2025-05-29,104244.98779710081
2025-05-30,104226.91791106085
